ANO	    CODMUNIC	    UF			    
2003	220200407900	Piaui			
2003	220401309955	Piaui			
2003	280301106701	Sergipe			
2003	350402125300	São Paulo		
2003	411003922305	Paraná			
2003	410401603602	Paraná			
2003	430602900406	Rio Grande do Sul
2003	520501318805	Goias			
2003	110200300023	Rondonia		
2003	110200600049	Rondonia		
2003	160200300303	Amapa			
2003	170200814203	Tocantins		
2003	220301001903	Piaui			
2003	220200311001	Piaui			
2003	220200508809	Piaui			
2003	250301708307	Paraiba			
2003	260100109907	Pernambuco		
2003	260100313909	Pernambuco		
2003	260401416407	Pernambuco		
2003	260401501409	Pernambuco		
2003	260401505202	Pernambuco		
2003	260401510004	Pernambuco		
2003	290401810602	Bahia			
2003	290501907509	Bahia			
2003	290602620205	Bahia			
2003	310602446404	Minas Gerais	
2003	310200335209	Minas Gerais	
2003	310702951404	Minas Gerais	
2003	310100170404	Minas Gerais	
