UF;MUNICIPIO;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;ACRELANDIA;1586;0;480;40;817;59;0;2;10;3562;422;43;0;93;67;0;2;0;0;2;19
AC;ASSIS BRASIL;373;0;27;0;182;21;0;3;3;1302;138;4;0;19;0;0;0;0;0;0;3
AC;BRASILEIA;2683;0;331;216;1484;114;0;7;8;4932;1031;21;0;147;282;0;0;0;0;2;36
AC;BUJARI;713;0;128;39;294;15;0;7;6;1078;69;14;0;29;46;0;0;0;0;1;3
AC;CAPIXABA;696;0;93;5;271;24;0;6;3;1200;141;17;0;31;8;0;0;0;0;0;2
AC;CRUZEIRO DO SUL;7695;0;737;99;3179;349;1;36;59;16741;7213;86;0;60;200;0;1;0;0;8;138
AC;EPITACIOLANDIA;2052;0;302;112;1013;97;0;5;10;2709;788;16;0;114;165;0;0;0;0;3;15
AC;FEIJO;667;0;125;5;375;39;0;38;4;2358;711;11;0;23;8;0;0;0;0;7;12
AC;JORDAO;14;0;6;0;14;2;0;0;0;78;34;0;0;0;0;0;0;0;0;0;0
AC;MANCIO LIMA;717;0;101;3;342;31;0;1;4;2240;581;17;0;2;4;0;0;0;0;0;4
AC;MANOEL URBANO;248;0;58;5;167;9;0;2;0;678;129;5;0;27;8;0;0;0;0;0;4
AC;MARECHAL THAUMATURGO;8;0;13;0;38;2;0;0;0;283;44;9;0;0;0;0;0;0;0;0;0
AC;PLACIDO DE CASTRO;1433;0;168;15;577;53;0;8;7;2451;421;30;0;78;15;3;0;0;0;5;6
AC;PORTO ACRE;937;0;173;6;483;46;0;7;3;2303;175;43;0;37;8;0;2;0;0;0;8
AC;PORTO WALTER;9;0;9;0;37;0;0;0;0;256;58;5;0;0;0;0;0;0;0;0;1
AC;RIO BRANCO;73523;0;4537;582;18548;3651;8;589;275;77521;15027;963;0;3299;967;55;29;0;4;131;1321
AC;RODRIGUES ALVES;234;0;24;1;130;5;0;1;1;1067;315;9;0;0;0;0;0;0;0;0;2
AC;SANTA ROSA DO PURUS;17;0;5;1;24;0;0;1;0;137;19;3;0;3;0;0;0;0;0;0;0
AC;SENA MADUREIRA;1695;0;127;12;1024;63;0;28;6;4885;1738;11;0;75;17;0;0;0;0;3;20
AC;SENADOR GUIOMARD;2321;0;345;72;826;73;0;21;9;3041;477;40;0;164;75;1;0;0;0;3;19
AC;TARAUACA;667;0;162;20;425;47;0;7;17;2595;1349;23;0;25;25;0;0;0;0;9;21
