UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
MG;ABADIA DOS DOURADOS;QUADRICICLO;0
MG;ABAETE;QUADRICICLO;0
MG;ABRE CAMPO;QUADRICICLO;0
MG;ACAIACA;QUADRICICLO;0
MG;ACUCENA;QUADRICICLO;0
MG;AGUA BOA;QUADRICICLO;0
MG;AGUA COMPRIDA;QUADRICICLO;0
MG;AGUANIL;QUADRICICLO;0
MG;AGUAS FORMOSAS;QUADRICICLO;0
MG;AGUAS VERMELHAS;QUADRICICLO;0
MG;AIMORES;QUADRICICLO;0
MG;AIURUOCA;QUADRICICLO;0
MG;ALAGOA;QUADRICICLO;0
MG;ALBERTINA;QUADRICICLO;0
MG;ALEM PARAIBA;QUADRICICLO;0
MG;ALFENAS;QUADRICICLO;0
MG;ALFREDO VASCONCELOS;QUADRICICLO;0
MG;ALMENARA;QUADRICICLO;0
MG;ALPERCATA;QUADRICICLO;0
MG;ALPINOPOLIS;QUADRICICLO;0
MG;ALTEROSA;QUADRICICLO;0
MG;ALTO CAPARAO;QUADRICICLO;0
MG;ALTO JEQUITIBA;QUADRICICLO;0
MG;ALTO RIO DOCE;QUADRICICLO;0
MG;ALVARENGA;QUADRICICLO;0
MG;ALVINOPOLIS;QUADRICICLO;0
MG;ALVORADA DE MINAS;QUADRICICLO;0
MG;AMPARO DA SERRA;QUADRICICLO;0
MG;ANDRADAS;QUADRICICLO;0
MG;ANDRELANDIA;QUADRICICLO;0
MG;ANGELANDIA;QUADRICICLO;0
MG;ANTONIO CARLOS;QUADRICICLO;0
MG;ANTONIO DIAS;QUADRICICLO;0
MG;ANTONIO PRADO DE MINAS;QUADRICICLO;0
MG;ARACAI;QUADRICICLO;0
MG;ARACITABA;QUADRICICLO;0
MG;ARACUAI;QUADRICICLO;0
MG;ARAGUARI;QUADRICICLO;0
MG;ARANTINA;QUADRICICLO;0
MG;ARAPONGA;QUADRICICLO;0
MG;ARAPORA;QUADRICICLO;0
MG;ARAPUA;QUADRICICLO;0
MG;ARAUJOS;QUADRICICLO;0
MG;ARAXA;QUADRICICLO;0
MG;ARCEBURGO;QUADRICICLO;0
MG;ARCOS;QUADRICICLO;0
MG;AREADO;QUADRICICLO;0
MG;ARGIRITA;QUADRICICLO;0
MG;ARICANDUVA;QUADRICICLO;0
MG;ARINOS;QUADRICICLO;0
MG;ASTOLFO DUTRA;QUADRICICLO;0
MG;ATALEIA;QUADRICICLO;0
MG;AUGUSTO DE LIMA;QUADRICICLO;0
MG;BAEPENDI;QUADRICICLO;0
MG;BALDIM;QUADRICICLO;0
MG;BAMBUI;QUADRICICLO;0
MG;BANDEIRA;QUADRICICLO;0
MG;BANDEIRA DO SUL;QUADRICICLO;0
MG;BARAO DE COCAIS;QUADRICICLO;0
MG;BARAO D0 MONTE ALTO;QUADRICICLO;0
MG;BARBACENA;QUADRICICLO;0
MG;BARRA LONGA;QUADRICICLO;0
MG;BARROSO;QUADRICICLO;0
MG;BELA VISTA DE MINAS;QUADRICICLO;0
MG;BELMIRO BRAGA;QUADRICICLO;0
MG;BELO ORIENTE;QUADRICICLO;0
MG;BELO VALE;QUADRICICLO;0
MG;BERILO;QUADRICICLO;0
MG;BERIZAL;QUADRICICLO;0
MG;BERTOPOLIS;QUADRICICLO;0
MG;BETIM;QUADRICICLO;0
MG;BIAS FORTES;QUADRICICLO;0
MG;BICAS;QUADRICICLO;0
MG;BIQUINHAS;QUADRICICLO;0
MG;BOA ESPERANCA;QUADRICICLO;0
MG;BOCAINA DE MINAS;QUADRICICLO;0
MG;BOCAIUVA;QUADRICICLO;0
MG;BOM DESPACHO;QUADRICICLO;0
MG;BOM JARDIM DE MINAS;QUADRICICLO;0
MG;BOM JESUS DA PENHA;QUADRICICLO;0
MG;BOM JESUS DO AMPARO;QUADRICICLO;0
MG;BOM JESUS DO GALHO;QUADRICICLO;0
MG;BOM REPOUSO;QUADRICICLO;0
MG;BOM SUCESSO;QUADRICICLO;0
MG;BONFIM;QUADRICICLO;0
MG;BONFINOPOLIS DE MINAS;QUADRICICLO;0
MG;BONITO DE MINAS;QUADRICICLO;0
MG;BORDA DA MATA;QUADRICICLO;0
MG;BOTELHOS;QUADRICICLO;0
MG;BOTUMIRIM;QUADRICICLO;0
MG;BRAS PIRES;QUADRICICLO;0
MG;BRASILANDIA DE MINAS;QUADRICICLO;0
MG;BRASILIA DE MINAS;QUADRICICLO;0
MG;BRASOPOLIS;QUADRICICLO;0
MG;BRAUNAS;QUADRICICLO;0
MG;BRUMADINHO;QUADRICICLO;0
MG;BUENO BRANDAO;QUADRICICLO;0
MG;BUENOPOLIS;QUADRICICLO;0
MG;BUGRE;QUADRICICLO;0
MG;BURITIS;QUADRICICLO;0
MG;BURITIZEIRO;QUADRICICLO;0
